                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.97899,                0.54116,                0.97132,                0.85644,                0.70192,                0.78943,                0.50361,                 1.0556,                0.56789,                 1.0624,              0.0010612,              0.0010612,              0.0010612
                     68,                  0.965,                0.53661,                0.97247,                0.83627,                0.68425,                0.76701,                0.49302,                 1.0282,                0.55238,                 1.0422,              0.0010555,              0.0010555,              0.0010555
                     69,                0.96667,                0.53146,                0.97459,                0.90013,                0.68644,                0.76954,                0.48894,                 1.0406,                0.53688,                 1.0474,              0.0010499,              0.0010499,              0.0010499
                     70,                0.97611,                 0.5547,                0.97546,                0.74218,                0.70666,                0.73521,                0.46293,                 1.0301,                0.56047,                 1.0425,              0.0010442,              0.0010442,              0.0010442
                     71,                0.93747,                 0.5279,                0.97723,                0.85973,                0.65995,                 0.7524,                 0.4751,                 1.0594,                0.56348,                 1.0643,              0.0010385,              0.0010385,              0.0010385
                     72,                0.94712,                 0.5197,                0.96489,                0.79469,                0.71244,                0.76803,                0.48849,                 1.0289,                0.54378,                 1.0513,              0.0010329,              0.0010329,              0.0010329
                     73,                0.98187,                0.54367,                0.97237,                0.86994,                0.64474,                0.75432,                0.48594,                 1.0038,                0.55162,                 1.0415,              0.0010272,              0.0010272,              0.0010272
                     74,                0.96341,                0.53934,                0.96878,                0.76837,                0.66272,                0.73743,                0.46564,                  1.032,                0.57479,                 1.0398,              0.0010216,              0.0010216,              0.0010216
                     75,                0.93765,                0.52398,                 0.9656,                0.75562,                0.70145,                 0.7525,                0.45184,                 1.0673,                 0.5442,                 1.0675,              0.0010159,              0.0010159,              0.0010159
                     76,                0.93927,                0.52042,                0.96716,                0.89968,                0.66406,                0.77066,                0.48288,                 1.0342,                0.55016,                 1.0499,              0.0010102,              0.0010102,              0.0010102
                     77,                0.97272,                0.52793,                0.97639,                 0.8103,                0.66832,                0.74965,                0.47373,                 1.0353,                 0.5617,                 1.0462,              0.0010046,              0.0010046,              0.0010046
                     78,                0.94121,                0.52311,                0.96082,                0.85508,                0.66137,                0.77204,                0.48187,                 1.0216,                0.54628,                 1.0496,             0.00099893,             0.00099893,             0.00099893
                     79,                0.94488,                0.51621,                0.96732,                0.77152,                0.70335,                0.72685,                0.46115,                 1.0441,                0.55932,                 1.0645,             0.00099327,             0.00099327,             0.00099327
                     80,                0.94674,                0.51842,                  0.963,                  0.822,                0.63038,                0.73896,                0.46685,                 1.0349,                0.54836,                 1.0404,             0.00098761,             0.00098761,             0.00098761
                     81,                0.92739,                0.51225,                0.96068,                0.79231,                 0.6949,                0.74583,                0.47404,                 1.0349,                0.54185,                 1.0504,             0.00098195,             0.00098195,             0.00098195
                     82,                 0.9381,                0.51175,                0.96833,                0.87913,                0.62115,                0.73628,                0.46528,                 1.0251,                0.56203,                 1.0503,             0.00097629,             0.00097629,             0.00097629
                     83,                0.94799,                0.51516,                0.96753,                0.75593,                0.68244,                0.71013,                0.44102,                 1.0464,                0.56972,                 1.0626,             0.00097063,             0.00097063,             0.00097063
                     84,                0.92459,                0.51137,                0.96393,                0.86497,                0.66249,                0.75486,                0.46924,                 1.0451,                0.53353,                 1.0627,             0.00096498,             0.00096498,             0.00096498
                     85,                0.94331,                0.50974,                0.96973,                 0.7819,                0.70104,                0.74128,                0.46599,                 1.0389,                0.53442,                 1.0536,             0.00095932,             0.00095932,             0.00095932
                     86,                0.98025,                0.52827,                0.97002,                0.86244,                0.66515,                0.75561,                0.49003,                 1.0003,                0.53746,                 1.0251,             0.00095366,             0.00095366,             0.00095366
                     87,                0.94097,                 0.5081,                 0.9631,                0.85694,                 0.6691,                 0.7497,                0.49256,                 1.0011,                0.52745,                 1.0346,               0.000948,               0.000948,               0.000948
                     88,                0.93237,                0.50412,                0.95388,                0.83419,                0.64232,                0.73897,                0.47209,                 1.0203,                0.55374,                 1.0491,             0.00094234,             0.00094234,             0.00094234
                     89,                0.93583,                0.50328,                0.95657,                0.88463,                0.64909,                0.74591,                0.47848,                 1.0287,                0.56501,                 1.0526,             0.00093668,             0.00093668,             0.00093668
                     90,                 0.9388,                0.51149,                0.96606,                0.81948,                0.64078,                 0.7366,                0.46857,                 1.0317,                0.56005,                 1.0503,             0.00093102,             0.00093102,             0.00093102
                     91,                0.93026,                0.49303,                0.95875,                0.84433,                0.68459,                0.76307,                0.47995,                 1.0339,                0.55003,                 1.0536,             0.00092536,             0.00092536,             0.00092536
                     92,                0.91318,                0.49982,                0.95676,                0.80829,                0.65694,                0.73292,                0.46967,                 1.0277,                0.54547,                   1.05,              0.0009197,              0.0009197,              0.0009197
                     93,                0.91872,                0.47909,                0.94851,                0.82299,                0.68783,                0.76964,                0.47741,                 1.0518,                0.54492,                  1.064,             0.00091405,             0.00091405,             0.00091405
                     94,                0.92362,                0.49381,                0.95226,                0.82558,                0.68275,                0.76004,                 0.4761,                 1.0278,                0.54638,                 1.0393,             0.00090839,             0.00090839,             0.00090839
                     95,                0.90594,                0.48892,                0.96049,                0.86646,                0.60341,                0.69578,                0.44664,                 1.0521,                0.54864,                  1.067,             0.00090273,             0.00090273,             0.00090273
                     96,                0.90789,                0.49404,                0.95034,                0.87663,                0.68034,                0.76169,                0.48446,                   1.04,                0.53549,                  1.058,             0.00089707,             0.00089707,             0.00089707
                     97,                0.91258,                0.49767,                 0.9558,                0.81557,                0.71646,                0.77322,                0.48562,                 1.0512,                0.53326,                   1.06,             0.00089141,             0.00089141,             0.00089141
                     98,                0.92127,                0.47993,                 0.9535,                0.80605,                0.69148,                0.75993,                0.48654,                 1.0317,                 0.5368,                 1.0491,             0.00088575,             0.00088575,             0.00088575
                     99,                0.89691,                 0.4848,                0.95329,                0.92729,                0.67066,                0.78866,                0.50554,                 1.0156,                0.51576,                 1.0444,             0.00088009,             0.00088009,             0.00088009
                    100,                0.92236,                0.49453,                0.95537,                0.85769,                0.66103,                0.75183,                0.47708,                 1.0334,                0.53415,                 1.0391,             0.00087443,             0.00087443,             0.00087443
                    101,                0.91067,                0.48877,                 0.9543,                0.80201,                0.70317,                 0.7701,                0.49207,                  1.044,                0.53683,                 1.0491,             0.00086877,             0.00086877,             0.00086877
                    102,                0.93257,                0.49708,                0.94864,                0.93882,                0.69669,                0.79552,                0.51258,                 1.0351,                0.51823,                 1.0534,             0.00086312,             0.00086312,             0.00086312
                    103,                0.89639,                0.48329,                0.94827,                0.84394,                 0.7184,                0.77715,                0.48884,                 1.0167,                0.52463,                 1.0256,             0.00085746,             0.00085746,             0.00085746
